Case_ID,No. of hearings ,No. of advocates,No. of issues,No. of laws,No. of precedents,,,,,,,
C001,3,3,2,2,0,,,,,,,
C002,4,3,3,3,0,,,,,,,
C003,2,3,3,1,0,,,,,,,
C004,4,3,3,2,0,,,,,,,
C005,5,6,2,1,0,,,,,,,
C006,11,12,3,1,0,,,,,,,
C007,2,3,3,1,0,,,,,,,
C008,2,3,3,5,0,,,,,,,
C009,3,6,3,5,0,,,,,,,
C010,3,5,3,2,0,,,,,,,
C011,8,6,3,1,1,,,,,,,
C012,2,3,3,1,0,,,,,,,
C013,3,6,1,5,1,,,,,,,
C014,3,5,3,7,0,,,,,,,
C015,3,3,3,1,0,,,,,,,
C016,4,4,2,3,0,,,,,,,
C017,4,5,3,4,0,,,,,,,
C018,4,5,2,1,2,,,,,,,
C019,4,6,3,1,1,,,,,,,
C020,6,4,2,3,0,,,,,,,
C021,11,7,3,22,0,,,,,,,
C022,20,7,1,5,0,,,,,,,
C023,7,2,1,8,33,,,,,,,
C024,10,4,3,10,0,,,,,,,
C025,10,2,2,17,1,,,,,,,
C026,12,7,3,10,0,,,,,,,
C027,28,12,2,4,0,,,,,,,
C028,6,4,3,1,0,,,,,,,
C029,12,6,3,3,0,,,,,,,
C030,2,2,2,5,0,,,,,,,
C031,4,5,2,16,0,,,,,,,
C032,3,4,2,2,1,,,,,,,
C033,4,1,2,4,0,,,,,,,
C034,9,2,3,3,1,,,,,,,
C035,16,4,2,7,1,,,,,,,
C036,7,4,2,0,0,,,,,,,
C037,4,5,3,8,1,,,,,,,
C038,2,0,3,2,0,,,,,,,
C039,4,4,3,1,0,,,,,,,
C040,3,1,3,0,0,,,,,,,
C041,14,20,1,3,4,,,,,,,
C042,5,14,1,2,7,,,,,,,
C043,25,50,2,10,1,,,,,,,
C044,26,4,1,14,0,,,,,,,
C045,9,6,3,11,1,,,,,,,
C046,86,28,2,25,3,,,,,,,
C047,12,2,1,28,7,,,,,,,
C048,118,3,3,15,1,,,,,,,
C049,15,2,1,24,1,,,,,,,
C050,21,2,1,6,0,,,,,,,
C051,88,7,1,2,0,,,,,,,
C052,7,3,3,2,4,,,,,,,
C053,12,4,1,7,3,,,,,,,
C054,6,2,1,20,1,,,,,,,
C055,5,4,1,0,0,,,,,,,
C056,13,4,3,1,43,,,,,,,
C057,45,11,3,12,0,,,,,,,
C058,12,3,1,24,0,,,,,,,
C059,33,7,2,11,1,,,,,,,
C060,82,3,3,16,1,,,,,,,
C061,24,3,2,15,0,,,,,,,
C062,6,4,3,12,0,,,,,,,
C063,5,14,3,27,0,,,,,,,
C064,4,5,2,10,0,,,,,,,
C065,4,3,3,6,0,,,,,,,
C066,5,6,3,5,1,,,,,,,
C067,9,3,1,3,1,,,,,,,
C068,11,8,2,4,0,,,,,,,
C069,7,6,3,4,0,,,,,,,
C070,2,7,3,3,0,,,,,,,
C071,3,5,3,2,1,,,,,,,
C072,3,7,3,1,0,,,,,,,
C073,2,4,3,1,1,,,,,,,
C074,10,8,3,2,1,,,,,,,
C075,8,4,2,2,0,,,,,,,
C076,3,3,1,1,1,,,,,,,
C077,3,3,2,1,0,,,,,,,
C078,19,8,2,2,0,,,,,,,
C079,14,3,3,2,0,,,,,,,
C080,2,4,1,46,0,,,,,,,
C081,8,3,1,11,0,,,,,,,
C082,12,3,2,8,0,,,,,,,
C083,7,2,1,24,5,,,,,,,
C084,3,7,1,17,0,,,,,,,
C085,3,2,1,17,0,,,,,,,
C086,7,5,3,13,9,,,,,,,
C087,39,9,1,17,2,,,,,,,
C088,9,3,2,9,1,,,,,,,
C089,4,6,2,8,0,,,,,,,
C090,2,9,3,12,0,,,,,,,
C091,7,3,2,5,0,,,,,,,
C092,3,3,1,6,0,,,,,,,
C093,2,8,2,5,0,,,,,,,
C094,3,7,3,40,0,,,,,,,
C095,11,6,2,71,0,,,,,,,
C096,3,6,2,20,0,,,,,,,
C097,4,6,2,11,0,,,,,,,
C098,20,5,3,9,0,,,,,,,
C099,3,3,2,8,0,,,,,,,
C100,3,4,3,5,0,,,,,,,
